"State","Country","report_date","yoy_pct_change"
"Rhode Island","United States",2020-03-01,-0.11
"South Carolina","United States",2020-03-01,0.08
"Tennessee","United States",2020-03-01,-0.06
"Texas","United States",2020-03-01,0.07
"Utah","United States",2020-03-01,-0.12
"Virginia","United States",2020-03-01,0.14
"Washington","United States",2020-03-01,-0.12
"Wisconsin","United States",2020-03-01,0.05
"New South Wales","Australia",2020-03-02,-0.31
"Queensland","Australia",2020-03-02,-0.01
"Victoria","Australia",2020-03-02,-0.13
"Alberta","Canada",2020-03-02,-0.1
"British Columbia","Canada",2020-03-02,-0.11
"Ontario","Canada",2020-03-02,-0.09
"Quebec","Canada",2020-03-02,-0.26
"Baja California Sur","Mexico",2020-03-02,0.03
"Jalisco","Mexico",2020-03-02,-0.18
"Mexico City","Mexico",2020-03-02,-0.09
"Nuevo Leon","Mexico",2020-03-02,0.14
"Quintana Roo","Mexico",2020-03-02,-0.14
"Alabama","United States",2020-03-02,-0.32
"Arizona","United States",2020-03-02,-0.07
"California","United States",2020-03-02,-0.06
"Colorado","United States",2020-03-02,-0.01
