"City","report_date","yoy_pct_change","State","Country"
"Austin",2020-03-10,-0.31,"Texas","United States"
"Dallas",2020-03-10,-0.1,"Texas","United States"
"Houston",2020-03-10,-0.17,"Texas","United States"
"San Antonio",2020-03-10,-0.22,"Texas","United States"
"Seattle",2020-03-10,-0.49,"Washington","United States"
"Calgary",2020-03-09,-0.11,"Alberta","Canada"
"Edmonton",2020-03-09,-0.19,"Alberta","Canada"
"Vancouver",2020-03-09,0.01,"British Columbia","Canada"
"Toronto",2020-03-09,-0.18,"Ontario","Canada"
"Montréal",2020-03-09,-0.14,"Quebec","Canada"
"Hamburg",2020-03-09,-0.13,"","Germany"
"München",2020-03-09,-0.15,"","Germany"
"Dublin",2020-03-09,-0.11,"","Ireland"
"Ciudad de México",2020-03-09,-0.29,"Mexico City","Mexico"
"San Pedro Garza García",2020-03-09,-0.22,"Nuevo Leon","Mexico"
"London",2020-03-09,-0.22,"","United Kingdom"
"Phoenix",2020-03-09,-0.18,"Arizona","United States"
"Scottsdale",2020-03-09,-0.04,"Arizona","United States"
"Los Angeles",2020-03-09,-0.27,"California","United States"
"San Diego",2020-03-09,-0.13,"California","United States"
"San Francisco",2020-03-09,-0.41,"California","United States"
"Denver",2020-03-09,-0.2,"Colorado","United States"
"Washington",2020-03-09,-0.09,"District of Columbia","United States"
"Fort Lauderdale",2020-03-09,-0.15,"Florida","United States"
"Miami",2020-03-09,-0.09,"Florida","United States"
"Miami Beach",2020-03-09,-0.11,"Florida","United States"
"Naples",2020-03-09,-0.18,"Florida","United States"
"Orlando",2020-03-09,-0.34,"Florida","United States"
"Tampa",2020-03-09,0,"Florida","United States"
"Atlanta",2020-03-09,0.01,"Georgia","United States"
"Honolulu",2020-03-09,-0.15,"Hawaii","United States"
"Chicago",2020-03-09,-0.25,"Illinois","United States"
"Indianapolis",2020-03-09,-0.29,"Indiana","United States"
"Louisville",2020-03-09,-0.22,"Kentucky","United States"
"New Orleans",2020-03-09,-0.13,"Louisiana","United States"
"Baltimore",2020-03-09,-0.17,"Maryland","United States"
"Boston",2020-03-09,-0.14,"Massachusetts","United States"
"Minneapolis",2020-03-09,-0.19,"Minnesota","United States"
"Las Vegas",2020-03-09,-0.11,"Nevada","United States"
"New York",2020-03-09,-0.18,"New York","United States"
"Charlotte",2020-03-09,-0.08,"North Carolina","United States"
