"State","report_date","yoy_pct_change","Country"
"Rhode Island",2020-03-08,0.26,"United States"
"South Carolina",2020-03-08,-0.05,"United States"
"Tennessee",2020-03-08,-0.07,"United States"
"Texas",2020-03-08,-0.05,"United States"
"Utah",2020-03-08,-0.13,"United States"
"Victoria",2020-03-08,-0.08,"Australia"
"Virginia",2020-03-08,0.03,"United States"
"Washington",2020-03-08,-0.22,"United States"
"Alabama",2020-03-07,0.11,"United States"
"Alberta",2020-03-07,-0.16,"Canada"
"Arizona",2020-03-07,-0.02,"United States"
"Baja California Sur",2020-03-07,-0.08,"Mexico"
"British Columbia",2020-03-07,-0.11,"Canada"
"California",2020-03-07,-0.05,"United States"
"Colorado",2020-03-07,-0.1,"United States"
"Connecticut",2020-03-07,-0.08,"United States"
"District of Columbia",2020-03-07,0,"United States"
"Florida",2020-03-07,-0.02,"United States"
"Georgia",2020-03-07,-0.02,"United States"
"Hawaii",2020-03-07,-0.06,"United States"
"Illinois",2020-03-07,0.04,"United States"
"Indiana",2020-03-07,0.04,"United States"
"Jalisco",2020-03-07,-0.02,"Mexico"
"Kansas",2020-03-07,-0.08,"United States"
"Kentucky",2020-03-07,0.01,"United States"
"Louisiana",2020-03-07,0.05,"United States"
"Maryland",2020-03-07,-0.02,"United States"
"Massachusetts",2020-03-07,-0.05,"United States"
"Mexico City",2020-03-07,-0.01,"Mexico"
"Michigan",2020-03-07,0.06,"United States"
"Minnesota",2020-03-07,0.59,"United States"
"Missouri",2020-03-07,-0.05,"United States"
"Nebraska",2020-03-07,-0.1,"United States"
"Nevada",2020-03-07,-0.06,"United States"
"New Jersey",2020-03-07,-0.06,"United States"
"New Mexico",2020-03-07,-0.1,"United States"
"New South Wales",2020-03-07,0.05,"Australia"
"New York",2020-03-07,-0.1,"United States"
"North Carolina",2020-03-07,-0.02,"United States"
"Nuevo Leon",2020-03-07,0.14,"Mexico"
"Ohio",2020-03-07,-0.06,"United States"
"Oklahoma",2020-03-07,0,"United States"
"Ontario",2020-03-07,-0.07,"Canada"
"Oregon",2020-03-07,-0.07,"United States"
"Pennsylvania",2020-03-07,-0.03,"United States"
"Quebec",2020-03-07,0.06,"Canada"
"Queensland",2020-03-07,-0.07,"Australia"
"Quintana Roo",2020-03-07,-0.08,"Mexico"
"Rhode Island",2020-03-07,-0.07,"United States"
"South Carolina",2020-03-07,0.03,"United States"
"Tennessee",2020-03-07,0.02,"United States"
"Texas",2020-03-07,-0.03,"United States"
"Utah",2020-03-07,0,"United States"
"Victoria",2020-03-07,-0.1,"Australia"
"Virginia",2020-03-07,0.02,"United States"
"Washington",2020-03-07,-0.27,"United States"
"Alabama",2020-03-06,-0.03,"United States"
"Alberta",2020-03-06,0.01,"Canada"
